especie,latitude_centro,latitude_min,latitude_max,regiao_geografica,codigo,categoria
Eubalaena glacialis,87.5,85.0,90.0,Artico,0,fora_da_distribuicao
Eubalaena glacialis,82.5,80.0,85.0,Artico,0,fora_da_distribuicao
Eubalaena glacialis,77.5,75.0,80.0,Artico,0,fora_da_distribuicao
Eubalaena glacialis,72.5,70.0,75.0,Artico,1,distribuicao_prevista
Eubalaena glacialis,67.5,65.0,70.0,Artico,1,distribuicao_prevista
Eubalaena glacialis,62.5,60.0,65.0,"America do Norte, Europa e Asia",1,distribuicao_prevista
Eubalaena glacialis,57.5,55.0,60.0,"America do Norte, Europa e Asia",1,distribuicao_prevista
Eubalaena glacialis,52.5,50.0,55.0,"America do Norte, Europa e Asia",1,distribuicao_prevista
Eubalaena glacialis,47.5,45.0,50.0,"America do Norte, Europa e Asia",1,distribuicao_prevista
Eubalaena glacialis,42.5,40.0,45.0,"America do Norte, Europa e Asia",2,coberto_por_censo
Eubalaena glacialis,37.5,35.0,40.0,"America do Norte, Europa e Asia",1,distribuicao_prevista
Eubalaena glacialis,32.5,30.0,35.0,"America do Norte, Europa e Asia",1,distribuicao_prevista
Eubalaena glacialis,27.5,25.0,30.0,"America do Norte, Europa e Asia",1,distribuicao_prevista
Eubalaena glacialis,22.5,20.0,25.0,"America Central, Norte da Africa e SE Asiatico",1,distribuicao_prevista
Eubalaena glacialis,17.5,15.0,20.0,"America Central, Norte da Africa e SE Asiatico",0,fora_da_distribuicao
Eubalaena glacialis,12.5,10.0,15.0,"America Central, Norte da Africa e SE Asiatico",0,fora_da_distribuicao
Eubalaena glacialis,7.5,5.0,10.0,"America Central, Norte da Africa e SE Asiatico",0,fora_da_distribuicao
Eubalaena glacialis,2.5,0.0,5.0,"America Central, Norte da Africa e SE Asiatico",0,fora_da_distribuicao
Eubalaena glacialis,-2.5,-5.0,0.0,"America do Sul, Africa Austral, Australia, NZ e Oceania",0,fora_da_distribuicao
Eubalaena glacialis,-7.5,-10.0,-5.0,"America do Sul, Africa Austral, Australia, NZ e Oceania",0,fora_da_distribuicao
Eubalaena glacialis,-12.5,-15.0,-10.0,"America do Sul, Africa Austral, Australia, NZ e Oceania",0,fora_da_distribuicao
Eubalaena glacialis,-17.5,-20.0,-15.0,"America do Sul, Africa Austral, Australia, NZ e Oceania",0,fora_da_distribuicao
Eubalaena glacialis,-22.5,-25.0,-20.0,"America do Sul, Africa Austral, Australia, NZ e Oceania",0,fora_da_distribuicao
Eubalaena glacialis,-27.5,-30.0,-25.0,"America do Sul, Africa Austral, Australia, NZ e Oceania",0,fora_da_distribuicao
Eubalaena glacialis,-32.5,-35.0,-30.0,"America do Sul, Africa Austral, Australia, NZ e Oceania",0,fora_da_distribuicao
Eubalaena glacialis,-37.5,-40.0,-35.0,"America do Sul, Africa Austral, Australia, NZ e Oceania",0,fora_da_distribuicao
Eubalaena glacialis,-42.5,-45.0,-40.0,"America do Sul, Africa Austral, Australia, NZ e Oceania",0,fora_da_distribuicao
Eubalaena glacialis,-47.5,-50.0,-45.0,"America do Sul, Africa Austral, Australia, NZ e Oceania",0,fora_da_distribuicao
Eubalaena glacialis,-52.5,-55.0,-50.0,Subantartico,0,fora_da_distribuicao
Eubalaena glacialis,-57.5,-60.0,-55.0,Subantartico,0,fora_da_distribuicao
Eubalaena glacialis,-62.5,-65.0,-60.0,Subantartico,0,fora_da_distribuicao
Eubalaena glacialis,-67.5,-70.0,-65.0,Antartica,0,fora_da_distribuicao
Eubalaena glacialis,-72.5,-75.0,-70.0,Antartica,0,fora_da_distribuicao
Eubalaena glacialis,-77.5,-80.0,-75.0,Antartica,0,fora_da_distribuicao
Eubalaena japonica,87.5,85.0,90.0,Artico,0,fora_da_distribuicao
Eubalaena japonica,82.5,80.0,85.0,Artico,0,fora_da_distribuicao
Eubalaena japonica,77.5,75.0,80.0,Artico,0,fora_da_distribuicao
Eubalaena japonica,72.5,70.0,75.0,Artico,0,fora_da_distribuicao
Eubalaena japonica,67.5,65.0,70.0,Artico,1,distribuicao_prevista
Eubalaena japonica,62.5,60.0,65.0,"America do Norte, Europa e Asia",1,distribuicao_prevista
Eubalaena japonica,57.5,55.0,60.0,"America do Norte, Europa e Asia",1,distribuicao_prevista
Eubalaena japonica,52.5,50.0,55.0,"America do Norte, Europa e Asia",1,distribuicao_prevista
Eubalaena japonica,47.5,45.0,50.0,"America do Norte, Europa e Asia",1,distribuicao_prevista
Eubalaena japonica,42.5,40.0,45.0,"America do Norte, Europa e Asia",1,distribuicao_prevista
Eubalaena japonica,37.5,35.0,40.0,"America do Norte, Europa e Asia",2,coberto_por_censo
Eubalaena japonica,32.5,30.0,35.0,"America do Norte, Europa e Asia",2,coberto_por_censo
Eubalaena japonica,27.5,25.0,30.0,"America do Norte, Europa e Asia",1,distribuicao_prevista
Eubalaena japonica,22.5,20.0,25.0,"America Central, Norte da Africa e SE Asiatico",1,distribuicao_prevista
Eubalaena japonica,17.5,15.0,20.0,"America Central, Norte da Africa e SE Asiatico",1,distribuicao_prevista
Eubalaena japonica,12.5,10.0,15.0,"America Central, Norte da Africa e SE Asiatico",0,fora_da_distribuicao
Eubalaena japonica,7.5,5.0,10.0,"America Central, Norte da Africa e SE Asiatico",0,fora_da_distribuicao
Eubalaena japonica,2.5,0.0,5.0,"America Central, Norte da Africa e SE Asiatico",0,fora_da_distribuicao
Eubalaena japonica,-2.5,-5.0,0.0,"America do Sul, Africa Austral, Australia, NZ e Oceania",0,fora_da_distribuicao
Eubalaena japonica,-7.5,-10.0,-5.0,"America do Sul, Africa Austral, Australia, NZ e Oceania",0,fora_da_distribuicao
